Court_State,Court_District,Case_Type,Count,Mapping,As_Of_Date
Andhra Pradesh,East Godavari,A.R.B.O.P,314,Civil,27-01-2023
Andhra Pradesh,East Godavari,A.T.C.,682,Civil,02-09-2023
Andhra Pradesh,East Godavari,ARBEP,1439,Civil,05-04-2023
Andhra Pradesh,East Godavari,AS,7235,Civil,06-11-2022
Andhra Pradesh,East Godavari,ATA,299,Civil,25-03-2022
Andhra Pradesh,East Godavari,CA,13,Civil,26-03-2023
Andhra Pradesh,East Godavari,CC,88180,Criminal,30-05-2023
Andhra Pradesh,East Godavari,CC.APT,8,Other,14-02-2023
Andhra Pradesh,East Godavari,CC.LG,1,Other,30-04-2023
Andhra Pradesh,East Godavari,CMA,1064,Civil,19-10-2022
Andhra Pradesh,East Godavari,COS,12,Civil,14-06-2023
Andhra Pradesh,East Godavari,CRIME NO,291,Criminal,15-04-2022
Andhra Pradesh,East Godavari,CRL MP,69,Criminal,17-07-2023
Andhra Pradesh,East Godavari,CRL.MP,1066,Criminal,02-05-2023
Andhra Pradesh,East Godavari,CRLA,5389,Criminal,11-12-2021
Andhra Pradesh,East Godavari,CRLA.MU,5,Criminal,07-09-2023
Andhra Pradesh,East Godavari,CRLMP BAIL,1,Criminal,16-03-2022
Andhra Pradesh,East Godavari,CRLMP.BAIL,10521,Criminal,15-10-2022
Andhra Pradesh,East Godavari,CRLRP,1677,Criminal,09-06-2023
Andhra Pradesh,East Godavari,CRLRP.MU,1,Criminal,31-05-2023
Andhra Pradesh,East Godavari,DVC,1544,Criminal,16-07-2022
Andhra Pradesh,East Godavari,E.M.C,328,Civil,14-03-2022
Andhra Pradesh,East Godavari,E.S.I.,4,Civil,06-03-2023
Andhra Pradesh,East Godavari,EAS,115,Civil,18-04-2022
Andhra Pradesh,East Godavari,ELECOP,75,Civil,09-10-2022
Andhra Pradesh,East Godavari,EP,28646,Civil,21-02-2022
Andhra Pradesh,East Godavari,F.C.O.P,1437,Civil,04-12-2021
Andhra Pradesh,East Godavari,F.C.O.S,5,Civil,19-11-2021
Andhra Pradesh,East Godavari,FDP,577,Civil,06-05-2022
Andhra Pradesh,East Godavari,G.W.O.P,506,Civil,12-02-2022
Andhra Pradesh,East Godavari,H.M.O.P,4828,Civil,28-10-2023
Andhra Pradesh,East Godavari,ID,70,Civil,02-02-2022
Andhra Pradesh,East Godavari,IP,1819,Civil,24-10-2022
Andhra Pradesh,East Godavari,IPA,88,Civil,30-11-2021
Andhra Pradesh,East Godavari,JCC,419,Criminal,05-03-2023
Andhra Pradesh,East Godavari,L.A.O.P,94,Civil,12-07-2023
Andhra Pradesh,East Godavari,L.R.A.C,3,Civil,22-02-2022
Andhra Pradesh,East Godavari,LGOP,4,Criminal,17-09-2022
Andhra Pradesh,East Godavari,LPC,266,Criminal,29-01-2022
Andhra Pradesh,East Godavari,LRA,119,Other,02-06-2023
Andhra Pradesh,East Godavari,MC,4406,Criminal,03-12-2022
Andhra Pradesh,East Godavari,MPID,8,Civil,21-08-2023
Andhra Pradesh,East Godavari,MVOP,12658,Civil,29-10-2022
Andhra Pradesh,East Godavari,O.OP,5,Civil,28-11-2022
Andhra Pradesh,East Godavari,OP,6728,Civil,23-06-2022
Andhra Pradesh,East Godavari,OS,62394,Civil,06-08-2022
Andhra Pradesh,East Godavari,PRC,2571,Criminal,05-03-2023
Andhra Pradesh,East Godavari,RC,114,Criminal,14-05-2023
Andhra Pradesh,East Godavari,RCA,299,Civil,15-03-2023
Andhra Pradesh,East Godavari,RCC,560,Civil,29-05-2022
Andhra Pradesh,East Godavari,S.O.P,319,Civil,23-01-2023
Andhra Pradesh,East Godavari,SC,4763,Criminal,16-04-2022
Andhra Pradesh,East Godavari,SC (POCSO),78,Criminal,30-07-2023
Andhra Pradesh,East Godavari,SC.MU,13,Criminal,15-09-2023
Andhra Pradesh,East Godavari,SC.NDPS,718,Criminal,13-04-2023
Andhra Pradesh,East Godavari,SC.SPL,821,Criminal,02-04-2023
Andhra Pradesh,East Godavari,SCC,352,Civil,08-01-2023
Andhra Pradesh,East Godavari,STC,333,Criminal,30-03-2023
Andhra Pradesh,East Godavari,T.R.CRLMP,135,Criminal,23-05-2023
Andhra Pradesh,East Godavari,T.R.O.P,567,Civil,05-04-2023
Andhra Pradesh,Guntur,A.R.B.O.P,6,Civil,11-07-2023
Andhra Pradesh,Guntur,A.T.C.,322,Civil,18-04-2023
Andhra Pradesh,Guntur,AS,7191,Civil,19-01-2022
Andhra Pradesh,Guntur,ATA,65,Civil,18-12-2021
Andhra Pradesh,Guntur,CC,100594,Criminal,16-04-2023
Andhra Pradesh,Guntur,CMA,865,Civil,12-09-2022
Andhra Pradesh,Guntur,CRIME NO,60,Criminal,18-03-2022
Andhra Pradesh,Guntur,CRL.MP,106,Criminal,09-01-2022
Andhra Pradesh,Guntur,CRLA,6650,Criminal,25-09-2022
Andhra Pradesh,Guntur,CRLA.MU,12,Criminal,29-08-2022
Andhra Pradesh,Guntur,CRLMP.BAIL,16142,Criminal,16-07-2022
Andhra Pradesh,Guntur,CRLRP,1903,Criminal,19-07-2022
Andhra Pradesh,Guntur,CRLRP.MU,5,Criminal,25-05-2023
Andhra Pradesh,Guntur,DVC,2676,Criminal,23-02-2022
Andhra Pradesh,Guntur,E.S.I.,27,Civil,25-11-2021
Andhra Pradesh,Guntur,EAS,7,Civil,21-09-2022
Andhra Pradesh,Guntur,MC,5303,Other,20-01-2023
Andhra Pradesh,Guntur,ELECOP,43,Civil,22-06-2023
Andhra Pradesh,Guntur,EP,30296,Civil,27-12-2021
Andhra Pradesh,Guntur,F.C.O.P,3828,Civil,10-11-2023
Andhra Pradesh,Guntur,F.C.O.S,2,Civil,18-11-2022
Andhra Pradesh,Guntur,G.W.O.P,102,Civil,31-08-2022
Andhra Pradesh,Guntur,H.M.O.P,5978,Civil,06-10-2022
Andhra Pradesh,Guntur,ID,1854,Civil,15-07-2023
Andhra Pradesh,Guntur,IP,2137,Civil,23-06-2022
Andhra Pradesh,Guntur,JCC,1701,Criminal,17-07-2023
Andhra Pradesh,Guntur,L.A.O.P,107,Civil,08-09-2022
Andhra Pradesh,Guntur,MPID,232,Civil,07-08-2023
Andhra Pradesh,Guntur,MVOP,4219,Civil,30-05-2022
Andhra Pradesh,Guntur,OP,16081,Civil,09-06-2022
Andhra Pradesh,Guntur,OS,71069,Civil,09-07-2023
Andhra Pradesh,Guntur,PRC,4109,Criminal,30-04-2023
Andhra Pradesh,Guntur,RCA,243,Civil,05-12-2022
Andhra Pradesh,Guntur,RCC,522,Civil,25-03-2023
Andhra Pradesh,Guntur,S.O.P,378,Civil,01-11-2023
Andhra Pradesh,Guntur,SC,9326,Criminal,04-06-2023
Andhra Pradesh,Guntur,SC.IE,83,Criminal,19-04-2023
Andhra Pradesh,Guntur,SC.MU,23,Criminal,04-06-2023
Andhra Pradesh,Guntur,SC.NDPS,119,Criminal,17-02-2023
Andhra Pradesh,Guntur,SC.SPL,1648,Criminal,20-12-2021
Andhra Pradesh,Guntur,SCC,337,Civil,09-10-2022
Andhra Pradesh,Guntur,STC,1335,Criminal,23-10-2023
Andhra Pradesh,Guntur,T.R.CRLMP,194,Criminal,15-04-2022
Andhra Pradesh,Guntur,LPC,34,Other,22-12-2022
Andhra Pradesh,Guntur,LGOP,30,Other,31-03-2023
Andhra Pradesh,Guntur,CC.APT,15,Other,23-11-2022
Andhra Pradesh,Guntur,T.R.O.P,15,Other,25-10-2023
Andhra Pradesh,Guntur,CC.LG,10,Other,14-11-2021
Andhra Pradesh,Guntur,CA,6,Other,26-01-2023
Andhra Pradesh,Guntur,RC,3,Other,23-09-2022
Andhra Pradesh,Guntur,PLC,2,Other,27-05-2022
Andhra Pradesh,Guntur,EAT.APPEAL,1,Other,21-07-2022
Andhra Pradesh,Guntur,EC.APPEALS,1,Other,05-06-2023
Andhra Pradesh,Kurnool,A.R.B.O.P,1276,Civil,22-06-2023
Andhra Pradesh,Kurnool,A.T.C.,27,Civil,13-09-2023
Andhra Pradesh,Kurnool,AS,2648,Civil,17-02-2022
Andhra Pradesh,Kurnool,ATA,9,Civil,08-10-2022
Andhra Pradesh,Kurnool,CC,50084,Criminal,22-04-2022
Andhra Pradesh,Kurnool,CC COPYRIGHT ACT,2,Civil,27-04-2023
Andhra Pradesh,Kurnool,CC FOREST,22,Civil,11-05-2023
Andhra Pradesh,Kurnool,CC NI ACT,16,Criminal,22-04-2023
Andhra Pradesh,Kurnool,CC.APT,6,Other,08-12-2022
Andhra Pradesh,Kurnool,CMA,703,Civil,12-02-2022
Andhra Pradesh,Kurnool,CRL.MP,159,Criminal,24-06-2022
Andhra Pradesh,Kurnool,CRLA,2440,Criminal,11-11-2023
Andhra Pradesh,Kurnool,CRLA.MU,2,Criminal,13-03-2023
Andhra Pradesh,Kurnool,CRLMP.BAIL,870,Criminal,04-03-2023
Andhra Pradesh,Kurnool,CRLRP,757,Criminal,23-02-2023
Andhra Pradesh,Kurnool,CRLRP.MU,2,Criminal,23-12-2022
Andhra Pradesh,Kurnool,DVC,590,Criminal,21-07-2022
Andhra Pradesh,Kurnool,E.M.C,5,Civil,25-01-2023
Andhra Pradesh,Kurnool,E.S.I.,2,Civil,10-10-2022
Andhra Pradesh,Kurnool,EC.APPEALS,1,Civil,28-07-2022
Andhra Pradesh,Kurnool,ELECOP,54,Civil,13-04-2022
Andhra Pradesh,Kurnool,EP,21291,Civil,12-10-2022
Andhra Pradesh,Kurnool,F.C.O.P,1209,Civil,14-01-2022
Andhra Pradesh,Kurnool,F.C.O.S,42,Civil,18-10-2023
Andhra Pradesh,Kurnool,G.W.O.P,282,Civil,26-07-2023
Andhra Pradesh,Kurnool,H.M.O.P,2266,Civil,12-12-2021
Andhra Pradesh,Kurnool,ID,1,Civil,07-11-2023
Andhra Pradesh,Kurnool,IP,1970,Civil,28-06-2022
Andhra Pradesh,Kurnool,JCC,184,Criminal,21-03-2022
Andhra Pradesh,Kurnool,L.A.O.P,2414,Civil,28-07-2022
Andhra Pradesh,Kurnool,LGOP,6,Criminal,04-02-2023
Andhra Pradesh,Kurnool,LPC,43,Criminal,12-11-2022
Andhra Pradesh,Kurnool,LRA,15,Other,01-04-2022
Andhra Pradesh,Kurnool,MC,1865,Criminal,25-08-2023
Andhra Pradesh,Kurnool,MVOP,11866,Civil,29-07-2023
Andhra Pradesh,Kurnool,OP,920,Civil,18-02-2023
Andhra Pradesh,Kurnool,OS,39677,Civil,16-03-2023
Andhra Pradesh,Kurnool,PRC,1808,Criminal,30-09-2022
Andhra Pradesh,Kurnool,RC,4,Criminal,18-01-2022
Andhra Pradesh,Kurnool,RCA,29,Civil,06-01-2022
Andhra Pradesh,Kurnool,RCC,103,Civil,10-01-2022
Andhra Pradesh,Kurnool,S.O.P,295,Civil,18-09-2023
Andhra Pradesh,Kurnool,SC,4407,Criminal,18-08-2022
Andhra Pradesh,Kurnool,SC.NDPS,124,Criminal,16-06-2023
Andhra Pradesh,Kurnool,SC.SPL,1530,Criminal,11-04-2022
Andhra Pradesh,Kurnool,SCC,277,Civil,13-11-2023
Andhra Pradesh,Kurnool,STC,2034,Criminal,19-05-2023
Andhra Pradesh,Kurnool,T.R.CRLMP,147,Criminal,23-09-2023
Andhra Pradesh,Kurnool,T.R.O.P,275,Civil,19-11-2021
Andhra Pradesh,Prakasham,A.R.B.O.P,141,Civil,13-09-2023
Andhra Pradesh,Prakasham,A.T.C.,122,Civil,24-04-2022
Andhra Pradesh,Prakasham,ARBEP,78,Civil,10-05-2022
Andhra Pradesh,Prakasham,AS,3539,Civil,07-10-2023
Andhra Pradesh,Prakasham,ATA,29,Civil,06-06-2023
Andhra Pradesh,Prakasham,CA,5,Criminal,26-10-2022
Andhra Pradesh,Prakasham,CC,58554,Criminal,26-10-2022
Andhra Pradesh,Prakasham,CC.APT,6,Other,23-07-2022
Andhra Pradesh,Prakasham,CC.LG,1,Other,16-10-2022
Andhra Pradesh,Prakasham,CMA,699,Civil,21-07-2023
Andhra Pradesh,Prakasham,CO.OP,2,Civil,18-05-2022
Andhra Pradesh,Prakasham,CRIME NO,121,Criminal,24-05-2023
Andhra Pradesh,Prakasham,CRL.MP,369,Criminal,29-05-2022
Andhra Pradesh,Prakasham,CRLA,2653,Criminal,13-04-2022
Andhra Pradesh,Prakasham,CRLA.MU,1,Criminal,20-09-2023
Andhra Pradesh,Prakasham,CRLMP.BAIL,12401,Criminal,06-11-2023
Andhra Pradesh,Prakasham,CRLRP,857,Criminal,18-10-2022
Andhra Pradesh,Prakasham,CRLRP.MU,1,Criminal,21-04-2022
Andhra Pradesh,Prakasham,DVC,1217,Criminal,30-06-2023
Andhra Pradesh,Prakasham,EAS,12,Civil,19-03-2022
Andhra Pradesh,Prakasham,EC.APPEALS,2,Civil,20-04-2023
Andhra Pradesh,Prakasham,ELECOP,65,Civil,06-05-2022
Andhra Pradesh,Prakasham,EP,20089,Civil,20-12-2021
Andhra Pradesh,Prakasham,F.C.O.P,1109,Civil,10-02-2023
Andhra Pradesh,Prakasham,FDP,194,Civil,31-07-2022
Andhra Pradesh,Prakasham,G.W.O.P,356,Civil,09-10-2022
Andhra Pradesh,Prakasham,H.M.O.P,4960,Civil,28-01-2023
Andhra Pradesh,Prakasham,ID,392,Civil,18-04-2023
Andhra Pradesh,Prakasham,IP,1539,Civil,24-08-2023
Andhra Pradesh,Prakasham,JCC,150,Criminal,07-11-2022
Andhra Pradesh,Prakasham,L.A.O.P,69,Civil,15-07-2023
Andhra Pradesh,Prakasham,L.R.A.C,2,Civil,12-10-2023
Andhra Pradesh,Prakasham,LGOP,41,Criminal,27-09-2022
Andhra Pradesh,Prakasham,LPC,68,Criminal,09-09-2023
Andhra Pradesh,Prakasham,LRA,1,Other,26-08-2023
Andhra Pradesh,Prakasham,MC,3052,Criminal,26-03-2022
Andhra Pradesh,Prakasham,MCA,1,Civil,23-10-2023
Andhra Pradesh,Prakasham,MVOP,5012,Civil,30-04-2022
Andhra Pradesh,Prakasham,OP,1407,Civil,03-09-2023
Andhra Pradesh,Prakasham,OS,47538,Civil,12-07-2023
Andhra Pradesh,Prakasham,PRC,2225,Criminal,22-09-2022
Andhra Pradesh,Prakasham,RC,10,Criminal,14-04-2022
Andhra Pradesh,Prakasham,RCA,21,Civil,09-01-2023
Andhra Pradesh,Prakasham,RCC,120,Civil,02-12-2022
Andhra Pradesh,Prakasham,S.O.P,310,Civil,22-02-2022
Andhra Pradesh,Prakasham,SC,3089,Criminal,22-03-2023
Andhra Pradesh,Prakasham,SC (POCSO),87,Criminal,02-01-2022
Andhra Pradesh,Prakasham,SC.IE,501,Criminal,04-08-2023
Andhra Pradesh,Prakasham,SC.NDPS,115,Criminal,25-07-2023
Andhra Pradesh,Prakasham,SC.SPL,1095,Criminal,23-03-2023
Andhra Pradesh,Prakasham,SCC,418,Civil,22-08-2022
Andhra Pradesh,Prakasham,STC,987,Criminal,27-12-2021
Andhra Pradesh,Prakasham,T.R.CRLMP,94,Criminal,17-02-2022
Andhra Pradesh,Prakasham,T.R.O.P,547,Civil,06-12-2022
Assam,Cachar,AB P,1,Civil,30-07-2023
Assam,Cachar,ASSAM FOREST REGULATION,1,Other,29-07-2022
Assam,Cachar,CASE UNDER SECTION 138 N.I. ACT,4,Criminal,04-08-2022
Assam,Cachar,CASES UNDER SECTION 125 CR P C,9,Criminal,23-11-2022
Assam,Cachar,COMPLAINT CASE ( C R),6723,Criminal,27-11-2022
Assam,Cachar,COPYRIGHT ACT,2,Civil,20-08-2023
Assam,Cachar,CRI MISC(T),7,Criminal,15-12-2021
Assam,Cachar,CRIMINAL APPEAL,411,Criminal,11-05-2023
Assam,Cachar,CRIMINAL MISC. ( T),10,Criminal,06-08-2023
Assam,Cachar,CRIMINAL MISCELLANEO,6801,Criminal,20-08-2023
Assam,Cachar,CRIMINAL MISCELLANEOUS,52,Criminal,10-06-2022
Assam,Cachar,CRIMINAL REVISION,1768,Criminal,14-05-2022
Assam,Cachar,D.V. CASE,3,Criminal,01-10-2022
Assam,Cachar,DV CASE,1131,Criminal,07-01-2022
Assam,Cachar,ELECTION PETITION,12,Civil,02-11-2023
Assam,Cachar,EMPLOYEES P F ACT,1,Civil,17-05-2022
Assam,Cachar,EXCISE ACT,3957,Criminal,31-01-2022
Assam,Cachar,FOOD ADULTERATION,2,Other,28-03-2022
Assam,Cachar,G C CERTIFICATE CASE,2,Criminal,29-08-2022
Assam,Cachar,G R CASE,33590,Criminal,15-09-2023
Assam,Cachar,GUARDIANS AND WARDS ACTS,13,Civil,14-11-2022
Assam,Cachar,HRC,12,Criminal,12-08-2022
Assam,Cachar,LETTER OF ADMINISTRATION,2,Civil,09-11-2023
Assam,Cachar,M.R.,18,Criminal,13-12-2022
Assam,Cachar,M.V. ACT.,200,Civil,22-07-2023
Assam,Cachar,MAC,530,Civil,10-03-2023
Assam,Cachar,MISC APPEAL (CRL),14,Criminal,16-11-2022
Assam,Cachar,MISC CASE (WAKF),11,Civil,05-03-2022
Assam,Cachar,MISC. ( J) CASE,841,Civil,23-10-2023
Assam,Cachar,MISC. (J) CASE,57,Civil,31-10-2023
Assam,Cachar,MISC. (VIOLATION),25,Civil,24-07-2023
Assam,Cachar,MISC. ADOPTION CASE,3,Civil,09-06-2022
Assam,Cachar,MISC. APPEAL,272,Civil,04-10-2022
Assam,Cachar,MISC. ARBITRATION,47,Civil,15-12-2021
Assam,Cachar,MISC. CASE ( DOMESTIC VIOLENCE),353,Criminal,07-02-2022
Assam,Cachar,MISC. CASE (CRL),37,Criminal,12-12-2022
Assam,Cachar,MISC. CASE(446 CR.P.C),167,Criminal,02-01-2022
Assam,Cachar,MISC. CASE.,1017,Civil,01-05-2023
Assam,Cachar,MISC. E. T,5,Civil,22-04-2022
Assam,Cachar,MISC. EX.,1,Civil,05-11-2023
Assam,Cachar,MISC. GUARDIANSHIP,310,Civil,12-11-2023
Assam,Cachar,MISC. L. A.,28,Civil,26-09-2023
Assam,Cachar,MISC. LAD,14,Civil,24-11-2021
Assam,Cachar,MISC. PROBATE,207,Civil,14-12-2022
Assam,Cachar,MISC. SUCCESSION,997,Civil,10-08-2023
Assam,Cachar,MISC. TRANSFER,150,Civil,03-06-2022
Assam,Cachar,MONEY APPEAL,61,Civil,18-02-2023
Assam,Cachar,MONEY EXECUTION,456,Civil,05-01-2022
Assam,Cachar,MONEY EXECUTION(ARBITRATION),80,Civil,20-11-2022
Assam,Cachar,MONEY EXN TRF.DECREE,14,Civil,05-12-2021
Assam,Cachar,MONEY SUIT,935,Civil,09-04-2022
Assam,Cachar,MOTOR VEHICLE ACT,2159,Civil,07-10-2023
Assam,Cachar,N D P S CASE,246,Criminal,27-06-2022
Assam,Cachar,N. I. (CR) CASE,1820,Criminal,25-11-2022
Assam,Cachar,OTHERS,1,Other,08-05-2023
Assam,Cachar,POLICE ACT,1,Criminal,31-01-2022
Assam,Cachar,PRC,4165,Criminal,30-11-2021
Assam,Cachar,PREVENTION OF CORRUPTION ACT,1,Criminal,31-03-2022
Assam,Cachar,PW APPEAL,1,Civil,11-04-2023
Assam,Cachar,R.S,2,Civil,20-02-2022
Assam,Cachar,REFERENCE CASE,12,Civil,04-06-2023
Assam,Cachar,SECTION 41 OF JUVENILE JUSTICE,1,Other,17-12-2022
Assam,Cachar,SESSIONS ( SPL.),1,Criminal,18-07-2022
Assam,Cachar,SESSIONS CASE,2256,Criminal,06-09-2022
Assam,Cachar,SP (SC AND ST),11,Criminal,11-02-2022
Assam,Cachar,SPECIAL CASE ( ELECTRICITY),327,Criminal,26-11-2022
Assam,Cachar,SPECIAL CASE E C A,1,Criminal,17-08-2023
Assam,Cachar,SPL (MONEY LUNDERING),1,Criminal,31-12-2021
Assam,Cachar,SPL (POCSO),242,Criminal,18-03-2023
Assam,Cachar,SR CR,839,Criminal,06-06-2022
Assam,Cachar,ST (LG),102,Criminal,24-08-2022
Assam,Cachar,SUCCESION CASE,26,Civil,12-07-2022
Assam,Cachar,TEST SUIT,76,Civil,26-11-2021
Assam,Cachar,TITLE APPEAL,532,Civil,31-08-2022
Assam,Cachar,TITLE EXECUTION,759,Civil,06-04-2022
Assam,Cachar,TITLE EXN TRF. DECRE,1,Civil,22-02-2022
Assam,Cachar,TITLE SUIT,3814,Civil,27-09-2023
Assam,Cachar,TITLE SUIT ( ARBITRATION ),3,Civil,08-10-2022
Assam,Cachar,TITLE SUIT WAKF,18,Civil,28-08-2023
Assam,Cachar,W A K F MATTER,1,Civil,19-05-2023
Assam,Cachar,WEIGHTS AND MEASUREMENT ACT,1,Criminal,15-10-2022
Assam,Dhubri,APPOINTMENT OF GUARDIAN,1,Civil,27-09-2023
Assam,Dhubri,BAIL APPLICATIONS,1,Criminal,25-01-2022
Assam,Dhubri,COMPLAIN CASE (CR) (S),7,Criminal,29-01-2022
Assam,Dhubri,COMPLAIN CASE (CR) (W),1,Criminal,12-05-2022
Assam,Dhubri,COMPLAINT CASE ( C R),2819,Criminal,11-01-2022
Assam,Dhubri,CRIMINAL APPEAL,40,Criminal,18-02-2022
Assam,Dhubri,CRIMINAL REVISION,49,Criminal,05-12-2022
Assam,Dhubri,EDUCATION,3,Civil,03-03-2022
Assam,Dhubri,G R (S),3,Criminal,11-06-2023
Assam,Dhubri,G R (W),418,Criminal,24-03-2023
Assam,Dhubri,G R CASE,5193,Criminal,26-08-2022
Assam,Dhubri,L. A.,140,Civil,22-11-2022
Assam,Dhubri,LETTER OF ADMINISTRATION,2,Civil,10-10-2023
Assam,Dhubri,M A C T ( DEATH ),1021,Civil,07-02-2022
Assam,Dhubri,M A C T ( INJURY ),3009,Civil,13-12-2022
Assam,Dhubri,MAC,71,Civil,01-07-2023
Assam,Dhubri,MACT MISC,71,Civil,05-05-2023
Assam,Dhubri,MISC (CRL.),615,Criminal,15-08-2022
Assam,Dhubri,MISC (T),3,Other,29-01-2022
Assam,Dhubri,MISC(J),2188,Civil,08-04-2022
Assam,Dhubri,MISC. ( J) CASE,165,Civil,19-10-2023
Assam,Dhubri,MISC. (J),19,Civil,26-09-2022
Assam,Dhubri,MISC. (J) (EXECUTION),38,Civil,02-10-2022
Assam,Dhubri,MISC. (J) CASE,1,Civil,03-04-2022
Assam,Dhubri,MISC. APPEAL,202,Civil,22-05-2023
Assam,Dhubri,MISC. CASE,1502,Civil,25-08-2022
Assam,Dhubri,MISC. CASE(446 CR.P.C),8,Criminal,30-11-2021
Assam,Dhubri,MISC. EXECUTION,20,Civil,20-09-2023
Assam,Dhubri,MISC. GUARDIANSHIP,11,Civil,23-12-2022
Assam,Dhubri,MISC. PROBATE,9,Civil,01-04-2022
Assam,Dhubri,MISC. SUCCESSION,35,Civil,15-06-2023
Assam,Dhubri,MONEY APPEAL,28,Civil,30-11-2021
Assam,Dhubri,MONEY EXECUTION,128,Civil,13-01-2022
Assam,Dhubri,MONEY EXECUTION (L.A.) CASE,2,Civil,12-06-2022
Assam,Dhubri,MONEY EXECUTION(ARBITRATION),3,Civil,07-06-2022
Assam,Dhubri,MONEY SUIT,237,Civil,04-10-2023
Assam,Dhubri,PRC (POLICE REPORT CASES),2201,Criminal,03-10-2023
Assam,Dhubri,SESSIONS (SPECIAL),13,Criminal,30-06-2022
Assam,Dhubri,SESSIONS CASE,488,Criminal,31-03-2022
Assam,Dhubri,SPECIAL,6,Criminal,26-10-2022
Assam,Dhubri,SPECIAL (POCSO ACT),57,Criminal,31-07-2023
Assam,Dhubri,TITLE APPEAL,764,Civil,06-05-2023
Assam,Dhubri,TITLE EXECUTION,380,Civil,14-01-2022
Assam,Dhubri,TITLE SUIT,3383,Civil,18-01-2022
Assam,Dhubri,TITLE SUIT (D),77,Civil,13-09-2022
Assam,Dhubri,TITLE SUIT (M),12,Civil,24-04-2023
Assam,Dhubri,TITLE SUIT (N),1,Civil,21-08-2023
Assam,Dhubri,TITLE SUIT (P),1,Civil,18-09-2022
Assam,Dhubri,TITLE SUIT (R),2600,Civil,02-06-2023
Assam,Dhubri,ARBITRATION MATTER,1,Civil,10-08-2023
Assam,Dhubri,ELECTION PETITION,24,Civil,23-04-2022
Assam,Dhubri,L A REFERENCE CASE,62,Civil,01-10-2022
Assam,Dhubri,L. A. CASE,198,Civil,25-08-2022
Assam,Dhubri,L.A.(EX),52,Civil,19-11-2021
Assam,Dhubri,MISC (CRL),3825,Criminal,31-07-2022
Assam,Dhubri,MISC. ADOPTION CASE,11,Civil,25-04-2023
Assam,Dhubri,MISC. ARBITRATION,5,Civil,27-07-2022
Assam,Dhubri,MISC. CASE ( DOMESTIC VIOLENCE),1,Criminal,01-11-2022
Assam,Dhubri,MISC. REVOCATION,5,Civil,18-11-2021
Assam,Dhubri,SESSIONS ( SPL.),2,Criminal,31-08-2023
Assam,Dhubri,SPECIAL ( POCSO ACT ),41,Criminal,31-08-2022
Assam,Dhubri,SPECIAL CASE ( ELECTRICITY),3,Criminal,11-05-2023
Assam,Dhubri,SUCCESION CASE,11,Civil,24-03-2023
Assam,Dhubri,TITILE SUIT (CMA),2,Civil,04-10-2023
Assam,Dhubri,TITLE SUIT (L.G),41,Other,07-11-2022
Assam,Dhubri,TITLE SUIT F. A.,166,Criminal,27-12-2022
Assam,Kamrup Metro,AB ANTICIPATORY BAIL,5585,Criminal,03-06-2023
Assam,Kamrup Metro,APPEAL UNDER TRADE UNION ACT,2,Civil,26-02-2023
Assam,Kamrup Metro,APPOINTMENT OF GUARDIAN,9,Civil,15-07-2022
Assam,Kamrup Metro,ARBITRATION MATTER,6,Civil,21-02-2023
Assam,Kamrup Metro,BAIL 437,423,Criminal,11-02-2022
Assam,Kamrup Metro,BAIL 438,1804,Criminal,19-01-2022
Assam,Kamrup Metro,BAIL 439,10328,Criminal,26-12-2021
Assam,Kamrup Metro,C.R CASE,4,Criminal,27-10-2023
Assam,Kamrup Metro,C.R. CASE,56,Criminal,22-10-2022
Assam,Kamrup Metro,CASE U/ S 33 -A I D ACT,3,Civil,11-06-2022
Assam,Kamrup Metro,CASE UNDER E S I ACT,68,Civil,18-10-2023
Assam,Kamrup Metro,CLAIMS U / S 166 M V ACT,2,Civil,02-12-2022
Assam,Kamrup Metro,CLAIMS U.S 166 M V ACT,18452,Civil,10-02-2023
Assam,Kamrup Metro,CLAIMS US 166MV CIV,3,Civil,11-03-2022
Assam,Kamrup Metro,COMPLAINT CASE  C.R.,47926,Criminal,18-08-2023
Assam,Kamrup Metro,COMPLAINT CASE ( C R),8691,Criminal,18-01-2022
Assam,Kamrup Metro,COPYRIGHT ACT,14,Civil,10-04-2022
Assam,Kamrup Metro,CR J.J.B,24,Criminal,25-04-2022
Assam,Kamrup Metro,CRIMINAL APPEAL,1799,Criminal,14-07-2023
Assam,Kamrup Metro,CRIMINAL MISCELLANEOUS,9,Criminal,13-12-2021
Assam,Kamrup Metro,CRIMINAL REVISION,1251,Criminal,30-04-2022
Assam,Kamrup Metro,DEATH CASE( M A C T ),14110,Civil,17-08-2023
Assam,Kamrup Metro,ELECTION PETITION,30,Civil,18-01-2023
Assam,Kamrup Metro,EXCISE ACT,9303,Criminal,23-08-2023
Assam,Kamrup Metro,EXECUTION CASE,20,Civil,04-11-2023
Assam,Kamrup Metro,EXECUTION UNDER W A K F ACT,1,Civil,10-01-2022
Assam,Kamrup Metro,EXTENSION SUCCESSION,53,Civil,24-01-2023
Assam,Kamrup Metro,G R CASE,42020,Criminal,29-12-2022
Assam,Kamrup Metro,G R CASE J.J.B,320,Criminal,20-08-2022
Assam,Kamrup Metro,G.R.,128,Criminal,14-04-2022
Assam,Kamrup Metro,GUARDIANS AND WARDS ACTS,3,Civil,08-10-2023
Assam,Kamrup Metro,INJURY CASE( M A C T ),17046,Civil,27-12-2021
Assam,Kamrup Metro,L A REFERENCE CASE,345,Civil,25-10-2023
